"Case Name","Description","Attorney / Staff Member","Status / Next Steps","Document Type","Deadline","Documents","Lead Plaintiff Counsel?","Status","Tier","Last Updated"
"FAIR v. DOJ, 18-cv-216 (D.D.C.)","FOIA lawsuit - Sally Yates’ communications re: travel ban","CJH; RLC","In settlement talks Re Amount of fees; DOJ inquired as to whether FAIR would accept $1,100 to settle; IRLI calculated billable hours and prepared to convey $3K to DOJ for settlmt; JSR due 12/15/21; Conveyed $3,000 settlement proposal in writing to<br />DoJ, with supporting documentation. Defendant replied to Plaintiff’s revisions to draft <br />settlement documents. Reviewed and revised new drafts from Defendant. Transmitted certain additional info to DoJ; preparing to transmit additional revisions to draft <br />settlement agreement to DoJ - In progress. Expect the case to settle in the near future; 2/23/22 Case settled;<br />","Joint Status Report due","","","Yes","Archive","","02/24/2022 10:11am"
"FAIR v. DOS, 17-cv-118 (D.D.C.)","FOIA lawsuit - Visa fraud<br />[FOIA Case No. F-2016-11198]","John Miano","03-13-2020: (F-2016-11198) Ref. letter dated 02-12-2020. U.S. Department of State produced one responsive record. However, it was redacted in its entirety. <br /><br />2/13/2020 MINUTE ORDER. The parties shall file their next Joint Status Report on or before May 13, 2020<br />John reviewing ongoing production monthly (at least 2 of 6 FOIA productions completed according to DOS); Evaluating exemptions and possibly requesting Vaughn index; Next JSR due 4/29/22, 6/30/22; ","JSR Due ","08/30/2022","","Yes","Active","","07/21/2022 10:43am"
"FAIR v. DOS, 19-cv-1743 (D.D.C.)","FOIA lawsuit - Cooperative agreements re: resettlement of refugees<br />[FOIA Tracking No. F-2019-02061]","John Miano","4/7/2020 MINUTE ORDER. Upon consideration of the defendant's15 Unopposed Motion to Stay Proceedings, all existing deadlines are VACATED, and the defendant's obligation to process and produce documents responsive to the plaintiff's FOIA request is STAYED. The parties shall file a joint status report on or before June 8, 2020. 6/9/20 MINUTE ORDER Status Rpt by 8/7/20; 8/7/20 MINUTE ORDER: parties shall file another joint status report on or before October 6, 2020. It is also ORDERED that the STAY in this case is LIFTED; 10/6/20 Joint STATUS REPORT; 12/7/20 Joint STATUS REPORT; 2/5/21 Joint Status Rpt; 2/8/21 Order, granted motion; 4/6/21 Joint Status Rpt; 8/16/21 Joint Status rpt; 10/15/21 Status Rpt; 12/9/21 Need to coordinate response to Joanne Bregman’s inquiry; 9/12/22 JSR; <br /><br />IRLI filed Complaint 6/14/19; Process served by certified mail 6/21/19; Defs' Response to Complaint filed 7/29/19; Proof of service filed 9/3/19; Discussions Re FOIA request and searches in progress; First production expected 10/25/19, rolling production every six weeks; Def wants 4 more years to complete FOIA request, FAIR/IRLI has opposed; Next JSR due on schedule;","Joint Status Report due (proposed) - Need to coordinate response to Joanne Bregman’s inquiry","10/12/2022","","Yes","Active","","09/14/2022 2:19pm"
"FAIR v. DOS, 19-cv-180 (D.D.C.) *Consolidated with 19-cv-181","FOIA lawsuit<br /><br />*Lead case - consolidated with FAIR v. DOS, 19-cv-181 (D.D.C.)","RLC; CJH","4/1/2020 MINUTE ORDER. Parties shall file another joint status report on or before May 29, 2020<br /><br />01-02-2020: (F-2018-03079) U.S. Department of State Production of 25 pages with redactions. Only documents, no disc. Uploaded to Knack; 12/2/21 Case settled and dismissed with prejudice pursuant to the parties’ settlement agreement (which provided for a combined total settlement payment of $1,400 to Plaintiff<br />for Case No. 19-cv-180 and Case No. 19-cv-181). IRLI received the combined settlement payment. <br /><br />  <br />Complaint filed 1/25/19; Process served on U.S. AG, U.S. Atty for DC, U.S. State Dept; Answer filed 4/19/19; Declaration/Proof of Svc filed 4/25/19; Ct consolidated with case no. 181 on 5/14/19; Defs' searches continue; Rolling productions every 6 weeks; JSR due 12/16/19","","","","Yes","Archive","","12/02/2021 2:13pm"
"FAIR v. DOS, 19-cv-181 (D.D.C.) *Consolidated with 19-cv-180","FOIA lawsuit<br /><br />*Consolidated with FAIR v. DOS, 19-cv-180","John Miano","Complaint filed 1/25/19; Process served on U.S. AG, U.S. Atty for DC, U.S. State Dept; Answer filed 4/19/19; Declaration/Proof of Svc filed 4/25/19; Ct consolidated with case no. 180 on 5/14/19; Defs' searches continue; Rolling productions every 6 weeks; JSR due 12/16/19; 12/2/21 Case consolidated with No. 19-cv-180. John Miano handling the action. Case settled and dismissed with prejudice pursuant to the parties’ settlement agreement (which provided for a combined total settlement payment of $1,400 to Plaintiff for Case No. 19-cv-180 and Case No. 19-cv-181). IRLI received the combined settlement payment. <br />","","","","Yes","Archive","","12/02/2021 2:14pm"
"FAIR v. DOS, 19-cv-182 (D.D.C.)","FOIA lawsuit","John Miano","Complaint filed 1/25/19; Process served on U.S. AG, U.S. Atty for DC, U.S. State Dept; Answer filed 4/19/19; Declaration/Proof of Svc filed 4/25/19; Ct ordered case not to be consolidated with nos. 180 and 181; First production received 7/17/19; Second production received 8/27/19; DOS continues searching for responsive records; Rolling productions ongoing, every six weeks; JSR due 4/7/22; ","Joint Status Report due ","08/08/2022","","Yes","Active","","07/21/2022 10:44am"
"FAIR v. Fed'l Bureau of Prisons, 19-cv-3114 (D.D.C.)","FOIA lawsuit - DNA testing in Re DNA Fingerprint Act","CJH; RLC","3/23/2020 Set/Reset Deadlines: Joint status report due by 4/21/2020. <br /><br />3/20/2020 MINUTE ORDER (paperless), DIRECTING, in consideration of the parties'14 Joint Status Report, the parties to submit, by April 21, 2020, a joint status report apprising the Court of the status of this matter and proposing a schedule for further proceedings.<br /><br />02-04-2020: (2019-03816) Bureau of Prisons Production - Items 1 and 2 produced 5 pages of responsive records with no redactions. Regarding items 3 and 4, this data is not tracked.   <br /><br />02-04-2020: (2019-03816) <br /><br />Complaint filed 10/16/19; Response to Complaint due 1/2/20 (JSR due 14 days after Def files Response); Deadline for filing Proof of Service 1/14/20; 12/2/21 Case settled and dismissed with prejudice pursuant to the parties’ settlement agreement (which provided for a $4,000 payment to Plaintiff). IRLI received the settlement payment.<br /><br />","","","","No","Archive","","05/03/2022 12:08pm"
"FAIR v. Fed'l Bureau of Prisons, 19-cv-3114 (D.D.C.)  ","","CJH; RLC","Complaint filed 10/16/19; Response to Complaint due 1/2/20 (JSR due 14 days after Def files Response); Deadline for filing Proof of Service 1/14/20. Settled.","","","","No","Archive","","05/03/2022 12:10pm"
"FAIR v. HHS, 18-cv-00791 (D.D.C.)","FOIA lawsuit (UAC #s)","JMM","Settled for $1,100; IRLI received payment from Treasury 10/31/18 - Ralph working to confirm with DOJ that pmt was for this matter, waiting for their response<br /><br />Matter to be Archived once pmt confirmed","","","","Yes","Archive","","05/30/2019 10:42am"
"FAIR v. ICE, 18-cv-638 (D.D.C.)","FOIA lawsuit - Obama-era worksite enforcement procedures","RLC; CJH","Complaint filed 3/20/18; Answer filed 5/2/18; FOIA production complete; IRLI preparing to convey $3,500 settlement offer; JSR due 12/6/19; 12/1/21 Case settled and dismissed with prejudice pursuant to the parties’ settlement agreement (which provided for a $3,500 settlement payment to Plaintiff). IRLI received the settlement payment<br />","Joint Status Report due","12/06/2019","","Yes","Archive","","12/02/2021 1:30pm"
"FAIR v. ICE, 18-cv-741 (D.D.C.)","FOIA lawsuit - ICE detainer compliance<br />[ICE FOIA Case No. 2018-ICLI-00026]<br />[ICE FOIA Case No. 2018-ICFO-20146]<br />Case FAIR v. ICE, No. 19-cv-2640-RBW (D.D.C.) --------------------- Case closed, 								       consolidated w/No. 18-cv-741<br />","CJH; RLC","Complaint filed 4/2/18; ICE contends that its production is complete and has requested the Court to set a Briefing Schedule; IRLI disputes the production is complete and has located material on the internet indicating that Def should have been able to provide add'l docs; IRLI asked judge to require add'l JSR so counsel can discuss the action and possible Mtn for Leave to Take Discovery and/or MSJ Re Production; Status Conference set for 10:00 a.m. on 12/22/21; ","","","","Yes","Archive","","03/24/2022 10:18am"
"FAIR v. ICE, 19-cv-02640 (D.D.C.)","FOIA lawsuit - ICE records Re Law enforcement agencies ignoring detainer requests<br /><br />*Similar to 18-cv-741 but for a different time period. Case closed. Consol. w/18-cv-741","CJH; RLC","02-12-2020: (1:19-cv-02640-RBW) ICE, ERO, Supplemental Response Production released one Excel spreadsheet in its entirety.   <br /><br />Complaint filed 9/4/19; Answer due 11/18/19; Deadline to serve process and file proof of service by 12/3/19 - U.S. AG and U.S. Atty (DC) received process; Post Office has not yet delivered process to State Dep't; Response to Complaint due 11/18/19; Deadline to file proof of service and Motion Re Service 12/3/19","","","","Yes","Archive","","03/24/2022 10:19am"
"FAIR v. ICE, 19-cv-02640 (D.D.C.)  ","*See Main Record for complete details","CJH; RLC","Briefing Schedule due 12/9/19. CASE settled","","","","No","Archive","","05/03/2022 12:11pm"
"FAIR v. ICE, 19-cv-3113 (D.D.C.)","FOIA lawsuit - DNA testing in Re DNA Fingerprint Act","CJH; RLC","02-28-2020: (2020-ICLI-00010) First Interim Response. Reviewed 531 pages and 55 pages were responsive. Disc produced.   <br /><br />01-27-2020: AUSA Daniel Schaefer advised Ralph Casale via email. Search is complete. First production due 02-28-2020 and will continue at rate of 500 processed pages per month. ICE anticipates production will be complete in April, 2020. <br /><br />Complaint filed 10/16/19; Response to Complaint due 1/2/20; Deadline for filing Proof of Service 1/14/20; 12/2/21 Case settled and dismissed with prejudice pursuant to the <br />parties’ settlement agreement (which provided for a $4,000 settlement payment to Plaintiff). IRLI received the settlement payment.<br /><br />","","","","Yes","Archive","","12/02/2021 2:22pm"
"FAIR v. ICE, 19-cv-3113 (D.D.C.)  ","","CJH; RLC","Complaint filed 10/16/19; Response to Complaint due 1/2/20; Deadline for filing Proof of Service 1/14/20. Case settled. ","","","","No","Archive","","05/03/2022 12:12pm"
"FAIR v. SSA, 18-cv-849 (D.D.C.)","FOIA lawsuit - No-match letters","RLC; CJH","Complaint filed 4/12/18; Answer filed; IRLI reviewing Vaughn Index, discussions Re exemptions and production in progress; Next JSR due 12/30/19; 11/30/21 Case settled and dismissed with prejudice pursuant to the parties’ settlement agreement (which provided for a $4,000 settlement payment to Plaintiff). Awaiting payment - in progress. <br />","","","","Yes","Archive","","12/16/2021 4:06pm"
"FAIR v. SSA, 18-cv-849 (D.D.C.)","letters regarding no-match, DACA/Obama no-match letters, DACA/Obama officials","CJH; RLC","The parties, through counsel, settled that action.","","","","Yes","Archive","","05/03/2022 12:16pm"
"FAIR v. USCIS, 16-1639 (D.D.C.)","FOIA lawsuit","RLC","Case settled for $1,600; IRLI received payment from Treasury 11/30/18 - Ralph working to confirm with DOJ that pmt was for this matter, waiting for their response<br /><br />Matter to be Archived once pmt confirmed","","","","Yes","Archive","","05/30/2019 10:42am"
"FAIR v. USCIS, 18-cv-876 (D.D.C)","FOIA lawsuit - H-1B numbers","CJH; RLC","Complaint filed 4/13/18; Answer filed; FOIA production complete; In settlement talks - IRLI to convey $5K settlement offer with appropriate documentation; Defendant resistant to paying any fees or costs, possible need for MSJ; JSR due 12/5/19; 12/2/21 Case settled and dismissed with prejudice pursuant to the parties’ settlement agreement (which provided for a $2,000 settlement payment to Plaintiff). IRLI received the settlement payment.<br />","","","","Yes","Archive","","12/16/2021 4:09pm"
"Ferry et al v. City of Montpelier, Odum, 22-AP-125 (Superior Ct- Wash. District)","City of Montpelier permits non-citizens to vote in elections through unconstitutional <br />24 App. V.S.A. section 5.1501(a) statute. election law case<br /><br />Gina will monitor for appeal","Gina D'Andrea","9/27/21 Complaint/Injunctive Relief; 7/19/22 Ps' filed brief; Ferry has been appealed and briefed;","","","","No","Active","","09/01/2022 3:09pm"
"Fight Sanctuary State Initiative","Proposition to repeal the sections of the California Code enacted due to SB 54 and, requiring state and local law enforcement to interface and work with federal officials. Adding criminal penalties for those rogue politicians who might still attempt to declare their jurisdictions a “sanctuary” from the law. Also repealing those sections of the Labor Code criminalizing a private employer’s cooperation with federal immigration authorities, revoking an illegal alien’s ability to obtain a California Driver’s License or renew the one he/she possesses, putting an end to the State’s ability to automatically register them to vote","CJH; MMH","Mike finalized research and provided input to Dale<br /><br />IRLI closed file as of 4/12/19","","","","Yes","Archive","","04/12/2019 11:53am"
"Fitisemanu, et al. v. U.S.A., 21-1394 (U.S.), 18-00036 (D. Utah), 20-4017, 20-4019 (10th Cir.)","3 Plaintiff American Samoans demands US birthright citizenship based on Samoan birth","MSV; CJH","Oral Argument held 11/14/18; Ct granted Pltfs' MSJ, denied Defs' MTD 12/13/19; 5/31/22 Several former judges who served in U.S. territories urged the U.S. Supreme Court on Tuesday to overturn the 1901 ""Insular Cases,"" which the Tenth Circuit cited recently when ruling that Congress, not the courts, must decide whether those born in American Samoa are birthright U.S. citizens; <br /><br /><br />IRLI filed Amicus Brief 6/29/18; IRLI to continue to monitor for appeal by 2/12/20<br />6/15/21 10th Cir. said citizenship is for Congress to decide, overruled Utah District that gave citizenship to nationals; <br /><br />U.S. 4/28/22 Petition SCOTUS for Writ of Cert.; 8/29/22 Briefs filed; ","","","","No","Active","","08/30/2022 3:20pm"
"Flores-Valle, et al. v. U.S. Dep't Homeland Security, et al., 3:19-02254 (N.D. Tex.)  ","Plaintiffs bring this action to compel Defendants to produce detained immigrants at the immigration court so that they may avail themselves of their right to Due Process insofar as it guarantees them a right to an in-person hearing before an impartial arbiter. Defendants have implemented a new policy of refusing to produce detained immigrants for all manners of hearings, instead, requiring the detained immigrants to appear for their immigration hearings via video teleconference (“VTC”). This new “Refusal to Produce” policy has had disastrous effects, further burdening an already broken immigration court system, while harming the detained immigrants’ rights in various ways. Plaintiffs contend that the denial of an in-person final merits hearing is not only unreasonable as a matter of law but also unconstitutional","","Complaint filed 9/20/19; Pltfs filed Mtn TRO and Mtn Injunction 9/26/19; Defs' Response filed 10/1/19; Oral Argument held 10/3/19, Ct entered Findings and Recommendations 10/8/19; Pltfs' Objection to Ct's F&R filed 10/22/19; Defs' Response to Objection filed 11/5/19","","","","No","Prospective","2","07/24/2020 2:25pm"
"FOIA Administrative Appeal, COW 2018000787","FOIA Administrative Appeal Need to Coordinate with John Miano <br /><br /><br /><br />","John Miano","Unknown - John Miano may know status","Administrative Appeal due","12/30/2019","","No","Active","","05/03/2022 12:19pm"
"FOIA Requests ","Various subjects","JJR","See FOIA tracking program for update","","","","No","Active","","02/17/2022 10:46am"
"Fossella v. Adams, NYC Bd of Elections, Index No. 85007/2022 (NY Sup. Ct Richmond)","Lawsuit in re: Allowing noncitizens to vote in New York elections. <br />Richmond Supreme Ct website: https://iapps.courts.state.ny.us/webcivil/FCASSearch <br /><br />52 USC 10301: Denial or abridgement of right to vote on account of race or color through voting qualifications or prerequisites; establishment of violation. Equal Protection Clause of the Fourteenth Amendment to the U.S. Constitution, discrimination against groups courts have held to be “protected classes” must be struck down unless it passes “strict scrutiny,” that is, can be shown to be necessary to achieve a compelling governmental interest. Aliens, racial groups, and groups defined by national origin have all been held to be protected classes. This includes U.S. citizens. <br /><br />Ps law firm: O'Connell & Aronowitz, Attys: Michael Yari Hawrylchak, Cornelius D. Murray (518) 462-5601. ","Gina D'Andrea","1/10/22 Complaint; 2/25/22 Notice of Motion, Affidavit or Affirm in support of motion, Mayor and the NYC Council filed an answer; 3/3/22 Affidavit or Affirmation in Opp to motion; 3/18/22 Board of Elections until April 11 to file its answer, status conf. 4/13 court has adjourned the matter until that date; 4/12/22 Proposed Order granting intervenors; 4/13/22 Motion Hrg Granted ext.; 5/4/22 next Conf date 6/7, Ps' X-SJ Motion to Ds' SJ Motion due 5/27/22; 5/26/22 IRLI amicus brief filed; 6/27/22 Court ruled against new law; 7/25/22 <br />7/26/22 NY Court of Appeals: 7/26/22 Appeal; 8/2/22 Future appearance 8/29; Appellants have 6 mos. from notice of appeal by filing its rcd and brief, Opp. briefs due 30 days, reply brief, 30 days after that; <br /><br />IRLI: 5/26/22 amicus brief filed;<br /> <br /><br />"," Appeal by NYC - projected answer/reply by Fossella","08/25/2022","","No","Active","","08/19/2022 2:14pm"
"Fraihat, et al. v. U.S. ICE, et al., 5:19-01546 (C.D. Cal.)","Immigrant detainees filed proposed class action accusing ICE of failing to provide adequate medical, mental health and disability accomodations at 158 detention facilities nationwide - asserting that ICE has contracted out the operation of the vast majority of its detention centers to private prison companies such as the GEO Group, Inc. while failing to conduct necessary oversight to ensure the centers meet the standards of confinement mandated by Fed Law and the Constitution","","Complaint filed 8/19/19; Notice of Mtn and Mtn to Sever and Dismiss, Alt Transfer Actions, and Mtn Strike Portions of Cmplt filed 11/27/19; Hearing on Mtn set for 2/24/20","","","","No","Prospective","2","11/11/2020 4:37pm"
"Franklin University v. CGFNS INTERNATIONAL, 2:21-cv-01304 (E.D. Pa.)","Univ. Wins Block On Foreign Nurse Language Proficiency Test. A Pennsylvania federal judge Wednesday granted Franklin University's request to bar the Commission on Graduates of Foreign Nursing Schools from implementing an English-language proficiency requirement for certain foreign nurses seeking to work in the United States. judge found that under the Immigration and Nationality Act, the commission doesn't have the authority to require foreign nurses, who completed their entry-level nursing program in a country not included in the relevant regulation, to meet an English language proficiency requirement to be certified.<br /><br />","","3/17/21 Complaint, TRO, PI; 3/18/21 Deny P's TRO; 3/25/21 Response in Opp.; 4/1/21 Reply to Response; 4/15/21 Status and Schedule conf. 4/30; 4/30/21 ORDERED THAT JUDGMENT IS ENTERED IN FAVOR OF FRANKLIN UNIVERSITY AND AGAINST CGFNS ON THE CLAIM REQUESTING DECLARATORY AND INJUNCTIVE RELIEF AS IT PERTAINS TO CGFNSS AUTHORITY TO IMPLEMENT THE POLICY CHANGE AT ISSUE, case terminated; 5/14/21 NOTICE OF APPEAL as to23 Memorandum and/or Opinion,24 Order (Memorandum and/or Opinion),,28 Order,27 Order Dismissing Case,, by CGFNS INTERNATIONAL, INC; 8/6/21 Order on appeal is dismissed. ","","","","No","Archive","","08/10/2021 12:55pm"
"Freedom For Immigrants v. U.S. Dep't Homeland Security, et al., 2:19-10424 (U.S.D.C. C.D.CA)","Advocates from an immigrant rights organization, Freedom for Immigrants in California are suing Immigration and Customs Enforcement and the Department of Homeland Security for shutting down a toll-free hotline that allowed immigrants in detention centers to report concerns about custody conditions after it was featured on the Netflix show “Orange Is the New Black”","","Complaint, and Application for Prelim Injunc filed 12/10/19","","","","No","Prospective","2","12/16/2019 4:12pm"
"Gallardo v. Wolf et al (8:20-cv-00529)","Courts > Florida Middle District Court<br />Filed: Mar 06, 2020<br />Judge: Mary S Scriven<br />Nature of Suit: Immigration - Naturalization Application<br />Cause: 08:1447 Hearings on denials of applications for naturalization","","3/25/2020 NOTICE of pendency of related cases per Local Rule 1.04(d) by Yasmany Gallardo. Related case(s): yes (Stoller, David)","","","","No","Prospective","","04/10/2020 11:33am"
"Galvez v. Cissna, 20-36052 (9th Cir.), 19-35884 (9th Cir.), 2:19-00321 (W.D. Wash.)","Class action suit on behalf of three 19- and 20-year-olds from Mexico and Guatemala, abused or abandoned by their parents, whose applications for Special Immigrant Juvenile Status have been delayed or denied. Claiming USCIS' imposition of arbitrary requirements for SIJS eligibility violates the law and irreparably harms hundreds of vulnerable youth who would otherwise qualify for SIJS. A denial of SIJS deprives them of shelter and a loving family, foster parents or guardians who can best protect their welfare and help them to recover from the abuse, abandonment or neglect they have experienced in their lives. Prospective case only","","Complaint, Mtn for Prelim Injunc, Request for Oral Argument filed 3/5/19; Order granting Pltfs' Mtn PI 7/17/19; Ct denied Defs' Mtn Reconsideration 8/23/19; Defs filed appeal of PI to 9th Cir. 10/21/19<br />9th Cir: Appellants' Opening Brief due 11/18/19; Answer Brief due 12/16/19; Reply Brief due within 21 days; 4/20/20 STIPULATION AND ORDER re Parties'62 Stipulated MOTION Setting Dispositive, Motion Briefing Schedule : The following briefing schedule shall apply to any dispositive motions filed in this case: Plaintiffs' motion for summary judgment: 5/1/2020; Defendants' opposition and cross motion: 5/15/2020; Plaintiff's opposition and reply: 5/29/2020; Defendants' reply: 6/12/2020; 5/1/20 Pltfs Motion for SJ; 5/29/20 Pltfs filed Decls. & Motion for Permanent Injunct.; 10/5/20 Order; 12/4/20 NOTICE OF APPEAL to Ninth Circuit 20-36052; 3/9/22 Order case dismissed on SJ motion; <br /><br />IRLI Amicus Suppt Appellants appeal of PI would be due 11/25/19; 10/29/19 - per Chris, no interest for IRLI involvement","","","","No","Archive","2","03/11/2022 12:06pm"
"Garcia-Fernandez v. Director for Texas Service Center of U.S. CIS, et al., 1:19-21556 (U.S.D.C. S.D.FL)  ","Federal Question - Plaintiff is a citizen of Spain, residing in Miami, challenging unlawful denial of employment-based immigration petition (EB-1) filed by Plaintiff on own behalf for classification as alien of extraordinary ability in accordance with Section 203(b)(1)(A) as Personal Trainer/Bodybuilder despite a previous decision from Defendants indicating that he had met the criteria","","First Amended Complaint filed 10/9/19; Defs' Answer to Amended Cmplt filed 10/21/19<br /><br />6/24/19 - emailed to Chris to consider","","","","No","Prospective","2","10/29/2019 1:40pm"
"Garcia-Ramirez v. U.S. ICE, 18-00508 (D.D.C.)","Detention of aged out minors. Law 360 article (7/22/20) states: DC Judge Mulls How To Ensure ICE Stops Detaining Teens. ","IRLI Mark, Chris or Gina","Pltfs filed Mtn for Temp Restrain Order and Mtn Prelim Injunc 3/5/18; Amended Cmplt filed 3/30/18; Defs filed Answer 9/13/18; Defs filed Partial MSJ 9/13/19; Pltfs' Response filed 10/7/19; 7/21/20 Minute Order: Parties Meet & Confer 8/4/, D's proposed broadcast message that the Risk Classification Assessment tool never recommends release, that it should not be run as part of an age-out custody determination, and that its recommendations should only be considered in custody level determinations not decisions concerning whether to detain or release 8/20, D's proposed revisions to the Age-Out Review Worksheet, etc 9/21; 7/22/20 Court ruled on Grace v. Barr, Parties suppl. briefs 7/31, Responses 8/7; 8/21/20 D's in Compliance; 9/21/20 D's Memo; 9/30/20 Minute Order; 12/4/20 D's RESPONSE TO ORDER; 12/10/20 Response; 12/11/20 Status Conf. 12/16; 4/28/21 Hrg; 4/29/21 Renewed Motion for Hrg; 6/23/21 Set/Reset Deadlines: Responses due 7/2; 7/15/21 P's REPLY to opp. motion for Entry of Final Judgment and Permanent Injunction MOTION; 9/21/21 MEMO OPINION AND ORDER grant in part and deny in part Ps' Motion for Entry of Final Judgment and Permanent Injunction, and Denying as Moot Ds' Motion to Issue Interim Guidance, FINAL JUDGMENT AND PERMANENT INJUNCTION; 10/18/21 D's Motion to alter J; 10/27/21 Response to Motion; 11/3/21 Reply to opp motion; 11/4/21 RESPONSE re Bill of Costs filed by DHS, Homan, Nielsen, US ICE; 11/10/21 ORDER Amending Final Judgment; 11/19/21 D's notice of compliance; 11/22/21 MINUTE ORDER: parties' Notice of Agreement w/Defendant's Payment of Costs, it is hereby ORDERED that Plaintiffs shall submit an amended Bill of Costs reflecting that agreement on or before 12/3; 1/7/22 Notice of Appeal for relief; 9/1/22 Joint MOTION for Settlement by WILMER GARCIA RAMIREZ, SULMA HERNANDEZ ALFARO; 9/7/22 Order grant parties class action settlement;<br /><br />D.D.C. 1/7/22 8/18/22 -	App (ICE) stmt of issues due 10/11;","8/18/22 -	App (ICE) stmt of issues due 10/11;","10/11/2022","","No","Active","2","09/13/2022 2:57pm"
"Garcia v. Wilkinson, 19-72803 (9th Cir.)","Despite accepting her account of events, the immigration courts rejected her pleas for asylum, saying she had not proven that her harassers were motivated by either her family membership or her status as a landowner, a determination the appeals court judges could not get behind. BIA recognized that property ownership was a cause — and moreover, the real reason — Garcia was targeted, but it still found that she was not targeted 'on account of' property ownership.” BIA restricted asylum access based on both family ties and land ownership.<br />","","11/5/2019 9th Cir. 2/18/2021 Case granted in part and remanded to BIA; ","","","","No","Prospective","","02/23/2021 12:18pm"
"Garland v. Gonzalez, 20-322 (U.S.), Gonzalez, et al. v. Sessions, 18-16465 (9th Cir.), 3:18-01869 (N.D. Cal.)","Bond Hearings for Migrants - Administrative Procedure Act - Appeal of Prelim Injunc (Order granting Pltfs' Mtn for Prelim Injunc, granting Pltfs' Mtn for Class Cert of detainees) - Detaining illegal aliens for more than 180 days without bond hearing; Pltfs (criminal aliens) unlawfully entered U.S. and claimed asylum by fear of persecution if returned to their home countries. 3rd and 9th Circuits being appealed at U.S.","Larry Joseph, CHH","Defs filed Notice of Appeal to 9th Cir. 8/3/18; Appellants' Opening Brief filed 3/1/19; Appellees' Answer Brief filed 6/10/19; Reply Brief filed 7/1/19; Oral Argument held 11/13/19, Awaiting Ct decision; 9/11/20 D's file appeal 20-322 (U.S.); 10/14/21 Garland brief; <br /><br />9/4/20 U.S. - Pet Granted; 10/13/20 IRLI amicus filed; 12/23/20 Destrib conference for 1/8/2021; 10/21/21 IRLI brief; 3/22/21 App.'s brief; 6/13/22 U.S. affirms aliens no right to bail hrgs; <br /><br />2/26, 4/16/19 - provided to Chris for consideration; 10/13/20 IRLI amicus filed; 10/21/21 IRLI brief filed; ","","","","No","Active","2","06/13/2022 11:40am"
"Gary Tomczyk v. Merrick Garland, 0:16-ag-72926 (9th Cir.)","Full 9th Circ. To Hear Suit Over Reinstating Deportation Orders. In February, a 2-1 appellate court panel sided with Tomcyzk, finding that the DHS applied an incorrect legal standard regarding what constitutes an ""illegal entry"" under the Immigration and Nationality Act, which the majority said requires ""more than mere status of inadmissibility."" Prospective only. Terminated 12/14/21<br /><br />","","9/2/2016 Appeal filed; 2/3/21 Case term.; 7/6/21 2/3 ruling vacated and reinstated case; 9/21/21 audio recording; ","","","","No","Archive","","01/05/2022 10:51am"
